合约名称,时间,最新成交价,开仓价格,平仓价格
SPY250613P00599000,2025-06-13 09:35:31,0.56,,
SPY250613P00600000,2025-06-13 09:35:31,0.71,,
SPY250613P00601000,2025-06-13 09:35:31,0.91,,
SPY250613P00599000,2025-06-13 09:35:34,0.56,,
SPY250613P00600000,2025-06-13 09:35:34,0.71,,
SPY250613P00601000,2025-06-13 09:35:34,0.91,,
SPY250613P00599000,2025-06-13 09:35:36,0.56,,
SPY250613P00600000,2025-06-13 09:35:36,0.71,,
SPY250613P00601000,2025-06-13 09:35:36,0.91,,
SPY250613P00599000,2025-06-13 09:35:38,0.56,,
SPY250613P00600000,2025-06-13 09:35:38,0.71,,
SPY250613P00601000,2025-06-13 09:35:38,0.91,,
SPY250613P00599000,2025-06-13 09:35:41,0.56,,
SPY250613P00600000,2025-06-13 09:35:41,0.71,,
SPY250613P00601000,2025-06-13 09:35:41,0.91,,
SPY250613P00599000,2025-06-13 09:35:42,0.56,,
SPY250613P00600000,2025-06-13 09:35:42,0.71,,
SPY250613P00601000,2025-06-13 09:35:42,0.91,,
SPY250613P00599000,2025-06-13 09:35:45,0.56,,
SPY250613P00600000,2025-06-13 09:35:45,0.71,,
SPY250613P00601000,2025-06-13 09:35:45,0.91,,
SPY250613P00599000,2025-06-13 09:35:47,0.56,,
SPY250613P00600000,2025-06-13 09:35:47,0.71,,
SPY250613P00601000,2025-06-13 09:35:47,0.91,,
SPY250613P00599000,2025-06-13 09:35:49,0.56,,
SPY250613P00600000,2025-06-13 09:35:49,0.71,,
SPY250613P00601000,2025-06-13 09:35:49,0.91,,
SPY250613P00599000,2025-06-13 09:35:51,0.56,,
SPY250613P00600000,2025-06-13 09:35:51,0.71,,
SPY250613P00601000,2025-06-13 09:35:51,0.91,,
SPY250613P00599000,2025-06-13 09:35:53,0.56,,
SPY250613P00600000,2025-06-13 09:35:53,0.71,,
SPY250613P00601000,2025-06-13 09:35:53,0.91,,
SPY250613P00599000,2025-06-13 09:35:55,0.56,,
SPY250613P00600000,2025-06-13 09:35:55,0.71,,
SPY250613P00601000,2025-06-13 09:35:55,0.91,,
SPY250613P00599000,2025-06-13 09:35:57,0.56,,
SPY250613P00600000,2025-06-13 09:35:57,0.71,,
SPY250613P00601000,2025-06-13 09:35:57,0.91,,
SPY250613P00599000,2025-06-13 09:35:59,0.56,,
SPY250613P00600000,2025-06-13 09:35:59,0.71,,
SPY250613P00601000,2025-06-13 09:35:59,0.91,,
SPY250613P00599000,2025-06-13 09:36:02,0.56,,
SPY250613P00600000,2025-06-13 09:36:02,0.71,,
SPY250613P00601000,2025-06-13 09:36:02,0.91,,
SPY250613P00599000,2025-06-13 09:36:04,0.56,,
SPY250613P00600000,2025-06-13 09:36:04,0.71,,
SPY250613P00601000,2025-06-13 09:36:04,0.91,,
SPY250613P00599000,2025-06-13 09:36:06,0.56,,
SPY250613P00600000,2025-06-13 09:36:06,0.71,,
SPY250613P00601000,2025-06-13 09:36:06,0.91,,
SPY250613P00599000,2025-06-13 09:36:08,0.56,,
SPY250613P00600000,2025-06-13 09:36:08,0.71,,
SPY250613P00601000,2025-06-13 09:36:08,0.91,,
SPY250613P00599000,2025-06-13 09:36:10,0.56,,
SPY250613P00600000,2025-06-13 09:36:10,0.71,,
SPY250613P00601000,2025-06-13 09:36:10,0.91,,
SPY250613P00599000,2025-06-13 09:36:12,0.56,,
SPY250613P00600000,2025-06-13 09:36:12,0.71,,
SPY250613P00601000,2025-06-13 09:36:12,0.91,,
SPY250613P00599000,2025-06-13 09:36:14,0.56,,
SPY250613P00600000,2025-06-13 09:36:14,0.71,,
SPY250613P00601000,2025-06-13 09:36:14,0.91,,
SPY250613P00599000,2025-06-13 09:36:16,0.56,,
SPY250613P00600000,2025-06-13 09:36:16,0.71,,
SPY250613P00601000,2025-06-13 09:36:16,0.91,,
SPY250613P00599000,2025-06-13 09:36:18,0.56,,
SPY250613P00600000,2025-06-13 09:36:18,0.71,,
SPY250613P00601000,2025-06-13 09:36:18,0.91,,
SPY250613P00599000,2025-06-13 09:36:21,0.56,,
SPY250613P00600000,2025-06-13 09:36:21,0.71,,
SPY250613P00601000,2025-06-13 09:36:21,0.91,,
SPY250613P00599000,2025-06-13 09:36:22,0.56,,
SPY250613P00600000,2025-06-13 09:36:22,0.71,,
SPY250613P00601000,2025-06-13 09:36:22,0.91,,
SPY250613P00599000,2025-06-13 09:36:25,0.56,,
SPY250613P00600000,2025-06-13 09:36:25,0.71,,
SPY250613P00601000,2025-06-13 09:36:25,0.91,,
SPY250613P00599000,2025-06-13 09:36:27,0.56,,
SPY250613P00600000,2025-06-13 09:36:27,0.71,,
SPY250613P00601000,2025-06-13 09:36:27,0.91,,
SPY250613P00599000,2025-06-13 09:36:29,0.56,,
